Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,14.340000,14.340000,14.340000,14.340000,4.734774,0
1980-01-03,14.270000,14.270000,14.270000,14.270000,4.711663,0
1980-01-04,14.450000,14.450000,14.450000,14.450000,4.771093,0
1980-01-07,14.490000,14.490000,14.490000,14.490000,4.784299,0
1980-01-08,14.780000,14.780000,14.780000,14.780000,4.880053,0
1980-01-09,14.800000,14.800000,14.800000,14.800000,4.886656,0
1980-01-10,14.910000,14.910000,14.910000,14.910000,4.922980,0
1980-01-11,14.910000,14.910000,14.910000,14.910000,4.922980,0
1980-01-14,14.980000,14.980000,14.980000,14.980000,4.946089,0
1980-01-15,15.080000,15.080000,15.080000,15.080000,4.979105,0
1980-01-16,15.070000,15.070000,15.070000,15.070000,4.975802,0
1980-01-17,15.020000,15.020000,15.020000,15.020000,4.959294,0
1980-01-18,15.070000,15.070000,15.070000,15.070000,4.975802,0
1980-01-21,15.210000,15.210000,15.210000,15.210000,5.022031,0
1980-01-22,15.140000,15.140000,15.140000,15.140000,4.998917,0
1980-01-23,15.400000,15.400000,15.400000,15.400000,5.084762,0
1980-01-24,15.430000,15.430000,15.430000,15.430000,5.094674,0
1980-01-25,15.420000,15.420000,15.420000,15.420000,5.091367,0
1980-01-28,15.600000,15.600000,15.600000,15.600000,5.150799,0
1980-01-29,15.490000,15.490000,15.490000,15.490000,5.114482,0
1980-01-30,15.650000,15.650000,15.650000,15.650000,5.167306,0
1980-01-31,15.510000,15.510000,15.510000,15.510000,5.121084,0
1980-02-01,15.650000,15.650000,15.650000,15.650000,5.167306,0
1980-02-04,15.570000,15.570000,15.570000,15.570000,5.140896,0
1980-02-05,15.620000,15.620000,15.620000,15.620000,5.157402,0
1980-02-06,15.770000,15.770000,15.770000,15.770000,5.206928,0
1980-02-07,15.850000,15.850000,15.850000,15.850000,5.233346,0
1980-02-08,16.090000,16.090000,16.090000,16.090000,5.312586,0
1980-02-11,15.980000,15.980000,15.980000,15.980000,5.276268,0
1980-02-12,16.080000,16.080000,16.080000,16.080000,5.309285,0
1980-02-13,16.160000,16.160000,16.160000,16.160000,5.335701,0
1980-02-14,15.930000,15.930000,15.930000,15.930000,5.259758,0
1980-02-15,15.760000,15.760000,15.760000,15.760000,5.203630,0
1980-02-19,15.650000,15.650000,15.650000,15.650000,5.167306,0
1980-02-20,15.910000,15.910000,15.910000,15.910000,5.253155,0
1980-02-21,15.750000,15.750000,15.750000,15.750000,5.200324,0
1980-02-22,15.710000,15.710000,15.710000,15.710000,5.187122,0
1980-02-25,15.510000,15.510000,15.510000,15.510000,5.121084,0
1980-02-26,15.600000,15.600000,15.600000,15.600000,5.150799,0
1980-02-27,15.390000,15.390000,15.390000,15.390000,5.081458,0
1980-02-28,15.380000,15.380000,15.380000,15.380000,5.078161,0
1980-02-29,15.570000,15.570000,15.570000,15.570000,5.140896,0
1980-03-03,15.410000,15.410000,15.410000,15.410000,5.088065,0
1980-03-04,15.460000,15.460000,15.460000,15.460000,5.104576,0
1980-03-05,15.240000,15.240000,15.240000,15.240000,5.031934,0
1980-03-06,14.900000,14.900000,14.900000,14.900000,4.919674,0
1980-03-07,14.670000,14.670000,14.670000,14.670000,4.843735,0
1980-03-10,14.630000,14.630000,14.630000,14.630000,4.830525,0
1980-03-11,14.800000,14.800000,14.800000,14.800000,4.886656,0
1980-03-12,14.680000,14.680000,14.680000,14.680000,4.847035,0
1980-03-13,14.510000,14.510000,14.510000,14.510000,4.790905,0
1980-03-14,14.480000,14.480000,14.480000,14.480000,4.780996,0
1980-03-17,14.050000,14.050000,14.050000,14.050000,4.639022,0
1980-03-18,14.300000,14.300000,14.300000,14.300000,4.721570,0
1980-03-19,14.330000,14.330000,14.330000,14.330000,4.731471,0
1980-03-20,14.160000,14.160000,14.160000,14.160000,4.675342,0
1980-03-21,14.060000,14.060000,14.060000,14.060000,4.642325,0
1980-03-24,13.650000,13.650000,13.650000,13.650000,4.506949,0
1980-03-25,13.640000,13.640000,13.640000,13.640000,4.503650,0
1980-03-26,13.570000,13.570000,13.570000,13.570000,4.480540,0
1980-03-27,13.690000,13.690000,13.690000,13.690000,4.574089,0
1980-03-28,13.690000,13.690000,13.690000,13.690000,4.574089,0
1980-03-31,13.880000,13.880000,13.880000,13.880000,4.637568,0
1980-04-01,13.890000,13.890000,13.890000,13.890000,4.640914,0
1980-04-02,13.960000,13.960000,13.960000,13.960000,4.664300,0
1980-04-03,13.890000,13.890000,13.890000,13.890000,4.640914,0
