Date,Open,High,Low,Close,Adj Close,Volume
2010-02-12,1.683125,1.752292,1.673333,1.737292,1.732951,2150400
2010-02-16,1.778125,1.808750,1.750208,1.804583,1.800074,2404800
2010-02-17,1.828750,1.835625,1.801250,1.835208,1.830623,4795200
2010-02-18,1.833333,1.881042,1.822292,1.870000,1.865327,9715200
2010-02-19,1.857292,1.894375,1.843125,1.870000,1.865327,11620800
2010-02-22,1.892083,1.892083,1.835833,1.856875,1.852235,6374400
2010-02-23,1.846667,1.856667,1.759792,1.784375,1.779916,10281600
2010-02-24,1.815833,1.859375,1.806042,1.838333,1.833740,8827200
2010-02-25,1.779583,1.849792,1.743958,1.837292,1.832701,11404800
2010-02-26,1.831875,1.867917,1.813750,1.860208,1.855560,7200000
2010-03-01,1.883750,1.947917,1.883750,1.940000,1.935153,3556800
2010-03-02,1.957083,1.993750,1.946458,1.951667,1.946790,6052800
2010-03-03,1.973542,1.990625,1.943542,1.962500,1.957596,5995200
2010-03-04,1.969375,1.986875,1.938750,1.984167,1.979209,3681600
2010-03-05,2.026458,2.081042,2.015625,2.071875,2.066698,3360000
2010-03-08,2.073750,2.097917,2.073750,2.082917,2.077712,3168000
2010-03-09,2.071458,2.152292,2.069792,2.119792,2.114495,5803200
2010-03-10,2.122708,2.184583,2.121250,2.171667,2.166240,5011200
2010-03-11,2.158542,2.194792,2.144167,2.191667,2.186191,6739200
2010-03-12,2.215833,2.215833,2.171458,2.196667,2.191178,4516800
2010-03-15,2.182083,2.196875,2.135417,2.181875,2.176423,5299200
2010-03-16,2.203333,2.229375,2.180417,2.223125,2.217570,5822400
2010-03-17,2.229375,2.270208,2.220000,2.238542,2.232948,4977600
2010-03-18,2.246250,2.268333,2.231458,2.261250,2.255600,6523200
2010-03-19,2.221250,2.286042,2.197500,2.221250,2.215700,5006400
2010-03-22,2.195208,2.307917,2.186875,2.281250,2.275550,7348800
2010-03-23,2.296875,2.333958,2.261250,2.328958,2.323139,6916800
2010-03-24,2.312500,2.317500,2.281250,2.295833,2.290097,11155200
2010-03-25,2.351875,2.376458,2.279583,2.281458,2.275758,11740800
2010-03-26,2.313958,2.337292,2.257292,2.293333,2.287603,10536000
2010-03-29,2.327917,2.348542,2.307708,2.324792,2.318983,4756800
2010-03-30,2.343958,2.369375,2.301458,2.349167,2.343297,4987200
2010-03-31,2.322917,2.354167,2.301458,2.317500,2.311709,7444800
2010-04-01,2.343333,2.388125,2.261042,2.312917,2.307137,14577600
2010-04-05,2.329792,2.393750,2.312500,2.379792,2.373846,8448000
2010-04-06,2.361667,2.419583,2.346667,2.397917,2.391925,7339200
2010-04-07,2.389792,2.415833,2.342708,2.384375,2.378417,13281600
2010-04-08,2.360208,2.406875,2.324167,2.392917,2.386938,8707200
2010-04-09,2.400833,2.441875,2.382292,2.436042,2.429955,7262400
2010-04-12,2.444375,2.464583,2.428333,2.445833,2.439722,6100800
2010-04-13,2.437917,2.486667,2.415833,2.482708,2.476505,8404800
2010-04-14,2.518125,2.572292,2.512917,2.570208,2.563786,7636800
2010-04-15,2.567500,2.614167,2.565208,2.604583,2.598076,5721600
2010-04-16,2.577083,2.602292,2.463542,2.511875,2.505598,16185600
2010-04-19,2.488333,2.530833,2.416667,2.507917,2.501650,14092800
2010-04-20,2.546875,2.562500,2.499167,2.545000,2.538641,7012800
2010-04-21,2.596667,2.611875,2.541667,2.589792,2.583321,10497600
2010-04-22,2.514167,2.636875,2.471250,2.628125,2.621558,15355200
2010-04-23,2.630625,2.671250,2.599583,2.662917,2.656263,10296000
2010-04-26,2.664792,2.684792,2.630208,2.643125,2.636521,10065600
2010-04-27,2.617500,2.645417,2.458333,2.480000,2.473804,16718400
2010-04-28,2.518125,2.520625,2.425625,2.485833,2.479622,15633600
2010-04-29,2.520417,2.625208,2.520208,2.612708,2.606180,10593600
2010-04-30,2.608750,2.621042,2.452292,2.458750,2.452606,11064000
2010-05-03,2.487500,2.596250,2.486875,2.559167,2.552772,6576000
2010-05-04,2.462292,2.462500,2.277292,2.332917,2.327088,17155200
2010-05-05,2.259792,2.335625,2.216667,2.294583,2.288850,17313600
2010-05-06,2.247292,2.312083,1.416667,2.069792,2.064620,27225600
2010-05-07,2.015000,2.090208,1.785625,1.919167,1.914371,31032000
2010-05-10,2.161458,2.211875,2.149583,2.205417,2.199906,23659200
2010-05-11,2.143125,2.291667,2.130625,2.203958,2.198452,18379200
2010-05-12,2.234167,2.327500,2.225833,2.322708,2.316905,13569600
2010-05-13,2.300417,2.348750,2.203750,2.217708,2.212167,13195200
2010-05-14,2.163333,2.166250,2.010417,2.081250,2.076050,19272000
2010-05-17,2.101458,2.132708,1.975000,2.109375,2.104105,17107200
2010-05-18,2.160833,2.172917,1.991667,2.028750,2.023681,23827200
2010-05-19,1.993750,2.041667,1.904792,1.975208,1.970273,29721600
2010-05-20,1.855625,1.868958,1.738542,1.775417,1.770980,34123200
2010-05-21,1.667292,1.844375,1.649583,1.789167,1.784696,29289600
2010-05-24,1.798958,1.865625,1.783125,1.803958,1.799451,19377600
2010-05-25,1.670000,1.796875,1.616667,1.791250,1.786774,21580800
2010-05-26,1.818958,1.893750,1.722500,1.735833,1.731496,26040000
2010-05-27,1.851458,1.928542,1.836458,1.923750,1.918943,21652800
2010-05-28,1.936458,1.941875,1.843750,1.896875,1.892135,20836800
2010-06-01,1.876875,1.973750,1.833333,1.844375,1.839767,25339200
2010-06-02,1.875000,1.974167,1.835000,1.974167,1.969234,14179200
2010-06-03,1.988750,2.036667,1.951250,2.025417,2.020356,14356800
2010-06-04,1.898333,1.973958,1.798750,1.825417,1.820855,30744000
2010-06-07,1.843125,1.863333,1.716667,1.719583,1.715287,21091200
2010-06-08,1.731875,1.743333,1.641875,1.710000,1.705727,33240000
2010-06-09,1.744583,1.793542,1.653125,1.672292,1.668113,28680000
2010-06-10,1.730625,1.814583,1.716458,1.811042,1.806517,19440000
2010-06-11,1.754792,1.865625,1.754792,1.858333,1.853690,15667200
2010-06-14,1.913542,1.950208,1.851875,1.859375,1.854729,28425600
2010-06-15,1.890208,2.016875,1.884583,1.995208,1.990223,25012800
2010-06-16,1.993542,2.062500,1.983750,2.035417,2.030331,19795200
2010-06-17,2.067292,2.070417,2.002917,2.055833,2.050696,20380800
2010-06-18,2.066458,2.102917,2.040833,2.061458,2.056307,17448000
2010-06-21,2.136667,2.145833,1.973333,2.007292,2.002276,27489600
2010-06-22,2.030417,2.074583,1.949583,1.959792,1.954895,22449600
2010-06-23,1.967083,1.987292,1.889583,1.933542,1.928710,28089600
2010-06-24,1.910417,1.927083,1.829167,1.839792,1.835195,29928000
2010-06-25,1.863750,1.884583,1.799375,1.838542,1.833948,22195200
2010-06-28,1.840000,1.867500,1.782500,1.822083,1.817531,20520000
2010-06-29,1.736458,1.739583,1.570833,1.618750,1.614705,54777600
2010-06-30,1.594583,1.640208,1.526042,1.538750,1.534905,22958400
2010-07-01,1.547292,1.560208,1.434583,1.523750,1.519943,31540800
2010-07-02,1.527708,1.545417,1.468750,1.515417,1.511630,18422400
2010-07-06,1.573333,1.602292,1.485000,1.523333,1.519527,19569600
2010-07-07,1.536458,1.671875,1.532708,1.667292,1.663126,20097600
2010-07-08,1.707292,1.713958,1.636667,1.695417,1.691180,25920000
2010-07-09,1.691042,1.750000,1.682083,1.742917,1.738562,17832000
2010-07-12,1.736458,1.788958,1.725833,1.762708,1.758304,12364800
2010-07-13,1.803958,1.846250,1.765000,1.822917,1.818362,21768000
2010-07-14,1.838542,1.883125,1.814792,1.852083,1.847456,13689600
2010-07-15,1.844375,1.874792,1.784375,1.858542,1.853898,14275200
2010-07-16,1.842292,1.844583,1.700833,1.708958,1.704688,22670400
2010-07-19,1.718750,1.758333,1.677292,1.747500,1.743134,15528000
2010-07-20,1.660833,1.810000,1.647500,1.802708,1.798204,15993600
2010-07-21,1.870833,1.870833,1.727917,1.739583,1.735237,21561600
2010-07-22,1.807500,1.892708,1.807500,1.856875,1.852235,15806400
2010-07-23,1.830833,1.907500,1.820625,1.905208,1.900448,17356800
2010-07-26,1.913542,1.952500,1.886875,1.947083,1.942218,12595200
2010-07-27,1.975833,1.984583,1.922292,1.946667,1.941803,14961600
2010-07-28,1.942708,1.967083,1.881250,1.906875,1.902110,9696000
2010-07-29,1.933333,1.945833,1.802500,1.861458,1.856807,19094400
2010-07-30,1.814167,1.905000,1.781458,1.874167,1.869484,16228800
2010-08-02,1.943542,1.989583,1.922083,1.975000,1.970065,11270400
2010-08-03,1.971250,1.977500,1.923750,1.954583,1.949700,8001600
2010-08-04,1.980208,2.016667,1.954583,2.011042,2.006016,10113600
2010-08-05,1.980833,2.006250,1.957083,1.999167,1.994171,8308800
2010-08-06,1.927292,1.998333,1.898542,1.989792,1.984820,19094400
2010-08-09,2.017083,2.041667,1.991250,2.024583,2.019525,10704000
2010-08-10,1.979167,2.009375,1.927500,1.981667,1.976715,19752000
2010-08-11,1.876458,1.877708,1.789792,1.818542,1.813998,19363200
